,track_name,album_name,artists,popularity,track_id
101,TROLLZ,TattleTales,6ix9ine,59.0,670bdbbde1cf33c468ba76bd9a878e04
102,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,8eaa4567f2cde8e072d57080a5493ddc
103,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,1c8cc4157f0483dcbe3cda98378e7ecf
104,Baa Baa Black Sheep,"CoComelon Kids Hits, Vol. 1",CoComelon,67.0,70259266b31c1eb476804b9012f9bbab
105,1553470665499594756,1553470665499594756,frxgxd,39.0,828f9e739a6d33b65f5c0f2085eb5919
106,Bluey Theme Tune - Extended,Bluey the Album,Bluey,64.0,b94fb5b7bbac968acf34ca08e709cf7d
107,Sent,Sent,9m88,33.0,9207b4120d8731ebd2c84203b6f96560
108,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,b5de53a86b30de779185edb1a7c2e298
109,"One, Two, Three, Four, Five",First Numbers,The Little 'uns,60.0,5758909ef03fc3a2efaa57408ad43f22
110,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,5bd82a8d91ecae1759f7173af82306fc
111,The Chicken Wing Song,The Chicken Wing Song,Lankybox,50.0,c8ddbe609ac1677454b9889f763e1598
112,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,a6e7de1836bebd7937ebf25395979ee9
113,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,b1909f56a1e0cb3832a2639ef11b306b
114,Ace,Ace,Ice Cream Social,33.0,ace70c1520dceed40465e2df7664a6b8
115,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,074f7ddb21199088e9981cd418addb59
116,Astronaut In The Ocean,KIDZ BOP 2022,Kidz Bop Kids,56.0,a5682229cea1637beb651afcf3345d34
117,Six Little Ducks,More Singable Songs,Raffi,49.0,6e2c1c844b6551b77d894b1d5fc79113
118,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,f6b6e07e73e2084b3106e9ffe3d99f55
119,涼涼,電視劇《三生三世十裡桃花》原聲帶,Zhang Bichen,55.0,3d02f9fcad37e6bb227682761039498c
120,Bluey Theme Tune - Extended,Bluey Theme Tune / Bluey Theme Tune (Extended),Bluey,52.0,b2be5928e28e664d16bbfaae919f10dc
121,1553470665499594756,1553470665499594756,frxgxd,39.0,16a70c7ae786dfd972dfe410358de90c
122,E287B-47C,E287B-47C,Kzak073,46.0,4ec07b731bb57fc74ddfaa15bc3f1a1c
123,三年二班,葉惠美,Jay Chou,38.0,3a6c645109f858ab088cc7736f1cf380
124,Sunroof,KIDZ BOP 2023,Kidz Bop Kids,57.0,56b260c23999072ab7ef4ad52877a8fa
125,867-5309 / Jenny,Tommy Tutone - 2,Tommy Tutone,61.0,71737c6ec6f820df6a171946ec2d1b6e
126,E287B-47C,E287B-47C,Kzak073,46.0,e5c7a419f9a6762bc27a4c8101eec66a
127,1985,A Hangover You Don't Deserve,Bowling For Soup,71.0,b85285be2a82b81b8a47b198e1ff61ea
128,1716 Osage,Saint Michael,Trippie Redd,40.0,167946b3a32a3e2cbd92e4c76df71528
129,IDK You Yet,IDK You Yet (Live on Piano),Alexander 23,72.0,23e3b5ddf1c73335d2529514632f9531
130,Eighties,Sapphire,Landon Cube,43.0,8e817421b6911be7f02916116ae44f6e
131,867-5309 / Jenny,Tommy Tutone - 2,Tommy Tutone,61.0,f60a7823385fa7ed669c561c122de77c
132,About That Time,KIDZ BOP 2023,Kidz Bop Kids,49.0,75e80907860754fc95ebe581374827ab
133,,,,,ec561019689c5a4252cbd5e792dcab5a
134,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,f43ebe8a453c4a66da789b5f5cc978e2
135,葡萄成熟時,U 87,Eason Chan,52.0,880bd603c77692c0b8932a2c82aaea57
136,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,00b5d38d555e94cb373d4709067f60df
137,Six in a Bed,50 Silly Songs,The Little Sunshine Kids,64.0,621774e6fe84a94ce1c8ac151921cdbb
138,608,Wisconsin,Carlie Hanson,40.0,60368b13c03115784bfdb9ed195628f7
139,Five Little Ducks,"The Best Songs for Kids, Vol. 1",LooLoo Kids,59.0,543358560ba9a49082f159599e5f0ff0
140,Seven Hundred Fourteen 七百十四,Seven Hundred Fourteen 七百十四,d.w.h,54.0,17219f6ae6c709b89a44c397a042dafb
141,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,0b3d17891a11f8d8b3e843313e77aa5a
142,abcdefu,abcdefu,GAYLE,75.0,ab0036316f7a5bcf9679ef8b66188d22
143,Work - Workout Remix 128 BPM,BPM - 128 Beats Per Minute (60 Min Non-Stop Workout Mix 128 BPM),Power Music Workout,20.0,129beae3248f0f26491a6445d6bad9c8
144,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,083f79465b0d2bf117f4b99e11b97f8b
145,24K Magic,24K Magic,Bruno Mars,81.0,24d2237d0616038c411bf31265e0ff14
146,E287B-47C,E287B-47C,Kzak073,46.0,d25d59ceb8ef93748816c270e78f6fa9
147,Bluey Theme Tune - Extended,Bluey the Album,Bluey,64.0,9e3fc01c1b060ebdefccd90dd62c803f
148,abc,KIDZ BOP Super POP!,Kidz Bop Kids,48.0,82464fefc71795aabea05a3573436e6e
149,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,5a80ee4ce91088ca9fd960cd56d38b91
150,I'm Good (Blue),KIDZ BOP 2023,Kidz Bop Kids,53.0,1ddc05bd8f63b395422f7237c5dbc90c
151,abcdefu,abcdefu,GAYLE,75.0,c0dbfaa91532656b44e6073adcfc2a02
152,Baa Baa Black Sheep,"CoComelon Kids Hits, Vol. 1",CoComelon,67.0,ba34863ce4ba8045a8df81cbf51011cb
153,1553470665499594756,1553470665499594756,frxgxd,39.0,e6995ce5aa4c1f77961d8e2b2bcbf51e
154,Seven (feat. Latto) (Clean Ver.),GOLDEN,Jung Kook,77.0,7b1e90350c2027dd679b344adef59561
155,1553470665499594756,1553470665499594756,frxgxd,39.0,117370e2eab8d06b8b4b030b0ea984a3
156,1553470665499594756,1553470665499594756,frxgxd,39.0,65df44cba8ef3a7a09dacd7b853e0d21
157,Sunroof,KIDZ BOP 2023,Kidz Bop Kids,57.0,9b7f248560ec731a4ffecc526e1f5528
158,94340634,All the Best,Wilfred Lau,40.0,448f5d91e8257f6015d9b992bb456aec
159,Chicky Nuggies over the Rainbow,Chicky Nuggies over the Rainbow,Baby Yoda,46.0,376c3e7b93195e24623ecbfd5858378f
160,Doo-Ba-Zoo,Dance Mode!,Bluey,52.0,d9e84659d1eba4cc0d9a218af3756a49
161,1553470665499594756,1553470665499594756,frxgxd,39.0,92a0880e780276001381f366a68c7da3
162,Sunroof,KIDZ BOP 2023,Kidz Bop Kids,57.0,453c666047a3652a3d2547234ff477c7
163,DONTTRUSTME,WANT,3OH!3,70.0,30928e8eb0a2cea367eca6362a6cdced
164,6969,Attitude City,Ninja Sex Party,32.0,689c110966657075db6fdb207d41a9ff
165,ABC Song,"Gracie's Corner Kids Hits, Vol. 2",Gracie's Corner,45.0,039ca5e6954d932d7c197f1ad8fcf87b
166,Sleep Song,"Gracie's Corner Kids Hits, Vol. 4",Gracie's Corner,43.0,4714a84614086cccf5cff0463bf93a5d
167,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,684eeea5e49a64b1699054abec972a0c
168,Dance Monkey,KIDZ BOP Party Playlist!,Kidz Bop Kids,57.0,2561842b9d9a5b6ff968d8d024b7f586
169,Huggy Wuggy,Huggy Wuggy,Endigo,51.0,58fc5385055ca149b3984f31ed1e768b
170,34+35,Positions,Ariana Grande,75.0,346227d0c046df3e253a4d4b27aee4ac
171,12345,Piper's Nursery Rhymes,Piper,36.0,4007c550cbc20c0190071c5abf39f0f3
172,ABC-DEF-GHI,F Is for Fun!,Elmo,39.0,00f8430617834ea09086d23af379bcfa
173,sober go away,laughing in insomnia,eaJ,43.0,ea14bd61f09f8785092fd1b5e110273e
174,7 Days of the Week,7 Days of the Week,The Learning Station,57.0,7a508606b4a5fc664b61a71afbe50c57
175,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,e628ed8e44e099a89ee5e1cbb93d8d72
176,abcdefu,abcdefu,GAYLE,75.0,bc565ae9cd0be8d3d4d24e8f8675b44b
177,"The Letter of the Day ""B""",ABC 123,Abby Cadabby,42.0,c1b06cc893158381bf96fdf847dca0d5
178,Six in a Bed,50 Silly Songs,The Little Sunshine Kids,64.0,6cb9179d0a11fed8c8a940ec7379e889
179,5 Little Ducks,5 Little Ducks,The Learning Station,55.0,f53da20c2b2b3c081d3cf949ec0e1851
180,DONTTRUSTME,WANT,3OH!3,70.0,3d69fa1eda7462731a3174c94e65a897
181,I'm Good (Blue),KIDZ BOP 2023,Kidz Bop Kids,53.0,52a7f3f34288d33112a6897e98265436
182,1553470665499594756,1553470665499594756,frxgxd,39.0,954c2d5c61db98b3e93acbb7950a7864
183,"1, 2, 3, 4",Big Bad World,Plain White T's,56.0,1a3a0d6313eb7c2e3e14b483e2c5f1a3
184,76 Inches,76 Inches,6 foot 4,29.0,762001dc45e3beeb60655e0a77524bc3
185,"24/7, 365","24/7, 365",elijah woods,75.0,2493f9a763dfa2f522a08c775cb29f78
186,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,59b53cf5cc1f37377d5abce0706dd85c
187,abcdefu,abcdefu,GAYLE,75.0,8bafddf378a6fcd07848599ade7836ff
188,"""C"" is for Cookie (feat. Ben Platt)",The Not-Too-Late Show with Elmo: Songs,Cookie Monster,37.0,c80843f3540a9e801ef0cf7ee5e6737c
189,,,,,2e0e765460659fa368442d74bcac6bed
190,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,df79ea3b3bfaa5d45b7ca9bc6c1ce08c
191,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,2a4ac76aba7161bb06c5b20f406809ca
192,"Orchestral Suite No. 2, BWV 1067, Badinerie","Baby Bach: Baby Einstein Classics, Vol. 2",The Baby Einstein Music Box Orchestra,35.0,bd4846511acc0212d0c101d973eda6df
193,It's Corn,It's Corn,Tariq,53.0,e80521af211bc32b896ab42b57c9c9eb
194,California (feat. Warren Hue),California (feat. Jackson Wang & Warren Hue) [Remix],88rising,55.0,871be096842e94e7d46ddae1a53e645d
195,I'm Good (Blue),KIDZ BOP 2023,Kidz Bop Kids,53.0,1d6cc387746ac7cd869153482630c54c
196,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,051b790923d89505056e2642de48e087
197,6969,Attitude City,Ninja Sex Party,32.0,e586b16503e15e2c66d76ada005f69b0
198,1553470665499594756,1553470665499594756,frxgxd,39.0,4772d63c9650faf6fa488dcd4ca7a8a3
199,"""C"" is for Cookie",Sesame Street: Platinum All-Time Favorites,Cookie Monster,49.0,c1c0f9d40d0c187ea720e5a840b0682b
200,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,2e559e0b6757270c74a154dbf9162c0d
201,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,b3f181cf27e8e929782f65d0573f18a3
202,1553470665499594756,1553470665499594756,frxgxd,39.0,9ea78364f9c233c0064069bfcd36b72f
203,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,0b774357a20dd2443b5e796fa3d1d374
204,VOICE ON MY END,SACRED HEART 2 (+),DC The Don,37.0,dc4ed73b87f7fa55d0f59bf8936b2d8e
205,abcdefu,abcdefu,GAYLE,75.0,8f27dd3ecc63e9db7bc0cfb1d3efb2d3
206,4 H 4 2,4 H 4 2,Smoothtrial42,43.0,4ca381d421ebe0cb5c76d57b0e110fe8
207,1553470665499594756,1553470665499594756,frxgxd,39.0,266bf9216e31e7f9088a0e5d62edb649
208,3D (feat. Jack Harlow) (Clean Ver.),3D : The Remixes,Jung Kook,72.0,3d001eeeaccb658113b71b384452aeca
209,Good Morning Song,"Gracie's Corner Kids Hits, Vol. 2",Gracie's Corner,46.0,494d14fd2866f103a0ba2dedc705bef0
210,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,680e9ea808ca98ec6a543cc0a16693b2
211,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,0594a51557eb7cb58cac97d882a5bc14
212,865,Dangerous: The Double Album,Morgan Wallen,70.0,885f834fa86ac9077729e13db3a1fd73
213,Pour Some Sugar On Me - Remastered 2017,Hysteria (Super Deluxe),Def Leppard,73.0,defb0872db1058c2d34649f83fb022d8
214,The BeeeeeOOP Walk,Dance Mode!,Bluey,55.0,bd8a4b1bc8e91c3f8e848c07deafc99e
215,7 Days of the Week,7 Days of the Week,The Learning Station,57.0,57167b17502a2c5c2a67fa7bd24625c5
216,abcdefu,abcdefu,GAYLE,75.0,c22c1b722058bb970b9ab2e1538c0ba8
217,Six in a Bed,50 Silly Songs,The Little Sunshine Kids,64.0,6f2a00fe0cfdff1747e29314d1603cd1
218,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,5f97fb0d45a51e3aa7c569ab27efdb66
219,Nom Nom Nom Nom Nom Nom Nom,Parry Gripp Mega-Party (2008 - 2012),Parry Gripp,60.0,0741b043ffc812d9fe00b7fa03aadc1a
220,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,f95ffdb6ce05ae55f857ca0ca5352b59
221,Dance Monkey,KIDZ BOP Party Playlist!,Kidz Bop Kids,57.0,d0c6ba7861a38a5dcdc3bd562a5ea6df
222,Wouldn't It Be Nice,Greatest Hits,The Beach Boys,59.0,dd99dd60e5f878efd685addaa6beac03
223,abcdefu,abcdefu,GAYLE,75.0,a41e84d8b8728fb2b059d3701015f7f1
224,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,6cc37bce05cc8be44b963153fff3ea76
